timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1785103474685,91,01 GET /dashboard (HTML document),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,10259,2935,1,1,http://localhost:3100/dashboard,89,0,8
1785103475053,2,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,9830,2962,1,1,http://localhost:3100/_next/static/chunks/145q4aob9rcre.js,2,0,0
1785103475055,2,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,10002,2962,1,1,http://localhost:3100/_next/static/chunks/0paxexg6-m0de.js,2,0,0
1785103475057,3,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,38282,2962,1,1,http://localhost:3100/_next/static/chunks/3s0sb7g7q_mq8.js,2,0,0
1785103475061,5,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,73496,2962,1,1,http://localhost:3100/_next/static/chunks/3jfcvqb-5fxzf.js,2,0,0
1785103475067,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,4992,2972,1,1,http://localhost:3100/_next/static/chunks/turbopack-3g9wn0xdgivpm.js,1,0,0
1785103475068,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,4510,2962,1,1,http://localhost:3100/_next/static/chunks/0ywr7u94zqd45.js,1,0,0
1785103475069,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,13695,2962,1,1,http://localhost:3100/_next/static/chunks/1-8s9_t85wwr4.js,1,0,0
1785103475070,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,2067,2962,1,1,http://localhost:3100/_next/static/chunks/4414_qq6gbiiq.js,1,0,0
1785103475071,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,3322,2962,1,1,http://localhost:3100/_next/static/chunks/1rxncug86bump.js,1,0,0
1785103475072,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,9232,2962,1,1,http://localhost:3100/_next/static/chunks/3luvy-fd74shy.js,1,0,0
1785103475074,5,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,65542,2962,1,1,http://localhost:3100/_next/static/chunks/1j6s5lj09hdsa.js,2,0,0
1785103475079,2,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,7514,2962,1,1,http://localhost:3100/_next/static/chunks/36ztqmys8tw9o.js,2,0,0
1785103475081,7,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,95782,2962,1,1,http://localhost:3100/_next/static/chunks/0it3hq1xubbmh.js,2,0,0
1785103475088,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,9570,2962,1,1,http://localhost:3100/_next/static/chunks/2s6s1rb7x-r03.js,1,0,0
1785103475089,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,1771,2962,1,1,http://localhost:3100/_next/static/chunks/1df5n_z_jy9_l.js,1,0,0
1785103475090,3,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,40332,2962,1,1,http://localhost:3100/_next/static/chunks/0cz1d0mv5g_q7.js,2,0,0
1785103474141,128,TX01 Dashboard page load (HTML + all JS bundles),200,"Number of samples in transaction : 17, number of failing samples : 0",Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,,true,,400198,50337,1,1,null,113,824,8
1785103475596,45,03 GET /api/analytics/summary?range=1M,200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,3160,2956,1,1,http://localhost:3100/api/analytics/summary?range=1M,45,0,0
1785103476145,116,04 GET /api/transactions (page 1),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,13088,2961,1,1,http://localhost:3100/api/transactions?page=1&pageSize=20,116,0,0
1785103476766,97,05 GET /ledger (HTML document),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,11278,2939,1,1,http://localhost:3100/ledger?page=1,97,0,0
1785103477369,40,06 GET /api/transactions (page 2),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,12869,2961,2,2,http://localhost:3100/api/transactions?page=2&pageSize=20,40,0,0
1785103477645,68,01 GET /dashboard (HTML document),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,10259,2935,2,2,http://localhost:3100/dashboard,68,0,1
1785103477716,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,9830,2962,2,2,http://localhost:3100/_next/static/chunks/145q4aob9rcre.js,1,0,0
1785103477717,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,10002,2962,2,2,http://localhost:3100/_next/static/chunks/0paxexg6-m0de.js,1,0,0
1785103477719,3,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,38282,2962,2,2,http://localhost:3100/_next/static/chunks/3s0sb7g7q_mq8.js,2,0,0
1785103477722,5,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,73496,2962,2,2,http://localhost:3100/_next/static/chunks/3jfcvqb-5fxzf.js,2,0,0
1785103477727,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,4992,2972,2,2,http://localhost:3100/_next/static/chunks/turbopack-3g9wn0xdgivpm.js,1,0,0
1785103477728,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,4510,2962,2,2,http://localhost:3100/_next/static/chunks/0ywr7u94zqd45.js,1,0,0
1785103477729,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,13695,2962,2,2,http://localhost:3100/_next/static/chunks/1-8s9_t85wwr4.js,1,0,0
1785103477730,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,2067,2962,2,2,http://localhost:3100/_next/static/chunks/4414_qq6gbiiq.js,1,0,0
1785103477731,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,3322,2962,2,2,http://localhost:3100/_next/static/chunks/1rxncug86bump.js,0,0,0
1785103477732,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,9232,2962,2,2,http://localhost:3100/_next/static/chunks/3luvy-fd74shy.js,0,0,0
1785103477733,4,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,65542,2962,2,2,http://localhost:3100/_next/static/chunks/1j6s5lj09hdsa.js,2,0,0
1785103477737,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,7514,2962,2,2,http://localhost:3100/_next/static/chunks/36ztqmys8tw9o.js,1,0,0
1785103477738,6,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,95782,2962,2,2,http://localhost:3100/_next/static/chunks/0it3hq1xubbmh.js,2,0,0
1785103477744,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,9570,2962,2,2,http://localhost:3100/_next/static/chunks/2s6s1rb7x-r03.js,1,0,0
1785103477745,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,1771,2962,2,2,http://localhost:3100/_next/static/chunks/1df5n_z_jy9_l.js,1,0,0
1785103477746,2,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,40332,2962,2,2,http://localhost:3100/_next/static/chunks/0cz1d0mv5g_q7.js,1,0,0
1785103477142,99,TX01 Dashboard page load (HTML + all JS bundles),200,"Number of samples in transaction : 17, number of failing samples : 0",Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,,true,,400198,50337,2,2,null,86,508,1
1785103477911,68,07 GET /analytics?range=3M (HTML document),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,10430,2944,2,2,http://localhost:3100/analytics?range=3M,67,0,0
1785103478255,59,03 GET /api/analytics/summary?range=1M,200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,3160,2956,2,2,http://localhost:3100/api/analytics/summary?range=1M,59,0,0
1785103478484,35,08 GET /api/categories,200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,2339,2940,2,2,http://localhost:3100/api/categories,35,0,0
1785103478820,56,04 GET /api/transactions (page 1),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,13088,2961,2,2,http://localhost:3100/api/transactions?page=1&pageSize=20,56,0,0
1785103479020,9,09 GET /api/health,200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,787,2936,2,2,http://localhost:3100/api/health,9,0,0
1785103479381,86,05 GET /ledger (HTML document),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,11278,2939,2,2,http://localhost:3100/ledger?page=1,85,0,0
1785103479534,65,01 GET /dashboard (HTML document),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,10259,2935,2,2,http://localhost:3100/dashboard,64,0,0
1785103479600,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,9830,2962,2,2,http://localhost:3100/_next/static/chunks/145q4aob9rcre.js,1,0,0
1785103479602,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,10002,2962,2,2,http://localhost:3100/_next/static/chunks/0paxexg6-m0de.js,1,0,0
1785103479603,4,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,38282,2962,2,2,http://localhost:3100/_next/static/chunks/3s0sb7g7q_mq8.js,3,0,0
1785103479607,7,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,73496,2962,2,2,http://localhost:3100/_next/static/chunks/3jfcvqb-5fxzf.js,3,0,0
1785103479614,2,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,4992,2972,2,2,http://localhost:3100/_next/static/chunks/turbopack-3g9wn0xdgivpm.js,2,0,0
1785103479616,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,4510,2962,2,2,http://localhost:3100/_next/static/chunks/0ywr7u94zqd45.js,1,0,0
1785103479617,2,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,13695,2962,2,2,http://localhost:3100/_next/static/chunks/1-8s9_t85wwr4.js,2,0,0
1785103479619,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,2067,2962,2,2,http://localhost:3100/_next/static/chunks/4414_qq6gbiiq.js,1,0,0
1785103479620,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,3322,2962,2,2,http://localhost:3100/_next/static/chunks/1rxncug86bump.js,1,0,0
1785103479621,3,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,9232,2962,2,2,http://localhost:3100/_next/static/chunks/3luvy-fd74shy.js,2,0,0
