timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1785105887580,47,01 GET /dashboard (HTML document),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,10148,2935,1,1,http://localhost:3100/dashboard,44,0,8
1785105887894,2,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,9841,2962,1,1,http://localhost:3100/_next/static/chunks/3lww7h2xe1r9p.js,2,0,0
1785105887896,2,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,10002,2962,1,1,http://localhost:3100/_next/static/chunks/0paxexg6-m0de.js,2,0,0
1785105887898,4,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,38283,2962,1,1,http://localhost:3100/_next/static/chunks/2vmuhl4p2reml.js,3,0,0
1785105887902,6,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,73496,2962,1,1,http://localhost:3100/_next/static/chunks/3jfcvqb-5fxzf.js,3,0,0
1785105887908,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,4991,2972,1,1,http://localhost:3100/_next/static/chunks/turbopack-08k7q9h9p79sa.js,1,0,0
1785105887909,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,4510,2962,1,1,http://localhost:3100/_next/static/chunks/0ywr7u94zqd45.js,1,0,0
1785105887910,2,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,13695,2962,1,1,http://localhost:3100/_next/static/chunks/1-8s9_t85wwr4.js,2,0,0
1785105887912,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,2067,2962,1,1,http://localhost:3100/_next/static/chunks/4414_qq6gbiiq.js,1,0,0
1785105887913,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,3322,2962,1,1,http://localhost:3100/_next/static/chunks/1rxncug86bump.js,1,0,0
1785105887914,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,6463,2962,1,1,http://localhost:3100/_next/static/chunks/15oy8asio8k4b.js,1,0,0
1785105887915,5,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,65542,2962,1,1,http://localhost:3100/_next/static/chunks/1j6s5lj09hdsa.js,3,0,0
1785105887921,8,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,110496,2962,1,1,http://localhost:3100/_next/static/chunks/1oolqk8pdw6hx.js,2,0,0
1785105887929,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,1771,2962,1,1,http://localhost:3100/_next/static/chunks/1df5n_z_jy9_l.js,1,0,0
1785105887930,3,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,40332,2962,1,1,http://localhost:3100/_next/static/chunks/0cz1d0mv5g_q7.js,2,0,0
1785105887042,85,TX01 Dashboard page load (HTML + all JS bundles),200,"Number of samples in transaction : 15, number of failing samples : 0",Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,,true,,394959,44413,1,1,null,69,807,8
1785105888434,4,03 GET /api/analytics/summary?range=1M,200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,3160,2956,1,1,http://localhost:3100/api/analytics/summary?range=1M,4,0,0
1785105888943,18,04 GET /api/transactions (page 1),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,13090,2961,1,1,http://localhost:3100/api/transactions?page=1&pageSize=20,18,0,0
1785105889462,20,05 GET /ledger (HTML document),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,11274,2939,1,1,http://localhost:3100/ledger?page=1,19,0,0
1785105889988,12,06 GET /api/transactions (page 2),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,12871,2961,1,1,http://localhost:3100/api/transactions?page=2&pageSize=20,12,0,0
1785105890505,31,07 GET /analytics?range=3M (HTML document),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-1,text,true,,10306,2944,2,2,http://localhost:3100/analytics?range=3M,30,0,0
1785105890547,28,01 GET /dashboard (HTML document),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,10148,2935,2,2,http://localhost:3100/dashboard,27,0,0
1785105890577,2,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,9841,2962,2,2,http://localhost:3100/_next/static/chunks/3lww7h2xe1r9p.js,2,0,0
1785105890579,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,10002,2962,2,2,http://localhost:3100/_next/static/chunks/0paxexg6-m0de.js,1,0,0
1785105890580,3,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,38283,2962,2,2,http://localhost:3100/_next/static/chunks/2vmuhl4p2reml.js,2,0,0
1785105890583,6,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,73496,2962,2,2,http://localhost:3100/_next/static/chunks/3jfcvqb-5fxzf.js,2,0,0
1785105890589,1,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,4991,2972,2,2,http://localhost:3100/_next/static/chunks/turbopack-08k7q9h9p79sa.js,1,0,0
1785105890590,0,02 GET JS bundle (/_next/static/chunks/*.js),200,OK,Scenario 1 - Light Load (10 users / 30 s ramp-up) 1-2,text,true,,4510,2962,2,2,http://localhost:3100/_next/static/chunks/0ywr7u94zqd45.js,0,0,0
