label,samples,errors,error_pct,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms,ttfb_avg_ms,throughput_rps,kb_per_sec,avg_bytes
01 GET /dashboard (HTML document),237,0,0.0,112.2,109.0,147.0,162.0,246.0,48,252,109.8,1.99,19.99,10287.4
02 GET JS bundle (/_next/static/chunks/*.js),3792,0,0.0,2.7,1.0,7.0,9.0,13.0,0,18,1.5,31.96,760.62,24371.2
03 GET /api/analytics/summary?range=1M,233,0,0.0,47.5,45.0,64.0,69.0,78.0,26,80,47.5,1.98,6.12,3160.0
04 GET /api/transactions (page 1),233,0,0.0,52.0,51.0,72.0,79.0,89.0,25,116,52.0,1.98,25.34,13088.0
05 GET /ledger (HTML document),233,0,0.0,99.4,102.0,137.0,145.0,190.0,42,193,97.3,1.98,21.83,11278.0
06 GET /api/transactions (page 2),230,0,0.0,47.6,46.0,63.0,69.0,81.0,26,113,47.6,1.99,24.97,12869.0
07 GET /analytics?range=3M (HTML document),230,0,0.0,105.8,104.0,136.0,155.0,173.0,55,184,103.6,1.99,20.23,10430.0
08 GET /api/categories,227,0,0.0,47.8,46.0,66.0,77.0,104.0,21,107,47.8,1.99,4.55,2339.0
09 GET /api/health,227,0,0.0,6.9,6.0,11.0,13.0,18.0,2,33,6.9,1.99,1.53,787.0
TX01 Dashboard page load (HTML + all JS bundles),237,0,0.0,155.2,154.0,193.0,205.0,289.0,75,297,134.3,1.99,777.35,400226.4
TOTAL (excluding transaction roll-ups),5642,0,0.0,23.2,4.0,81.0,112.0,142.0,0,252,22.1,47.14,875.84,19024.4
