label,samples,errors,error_pct,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms,ttfb_avg_ms,throughput_rps,kb_per_sec,avg_bytes
01 GET /dashboard (HTML document),1667,876,52.55,97.5,58.0,258.0,330.0,483.0,8,621,96.0,9.27,48.06,5310.7
02 GET JS bundle (/_next/static/chunks/*.js),13248,0,0.0,3.2,2.0,8.0,10.0,16.0,0,51,1.9,73.83,1757.24,24371.2
03 GET /api/analytics/summary?range=1M,1664,865,51.98,53.6,31.0,134.0,173.0,287.0,8,456,53.6,9.28,17.57,1937.9
04 GET /api/transactions (page 1),1662,825,49.64,54.1,33.0,141.0,172.0,240.0,8,429,54.0,9.32,63.62,6992.8
05 GET /ledger (HTML document),1654,856,51.75,94.1,56.0,251.0,324.0,435.0,8,647,93.1,9.27,53.01,5853.2
06 GET /api/transactions (page 2),1651,845,51.18,54.6,31.0,141.0,179.0,266.0,8,462,54.5,9.29,60.78,6696.6
07 GET /analytics?range=3M (HTML document),1640,872,53.17,98.9,52.0,279.0,354.0,457.0,8,695,97.7,9.25,47.78,5289.5
08 GET /api/categories,1634,786,48.1,53.9,31.0,132.0,170.0,256.0,8,409,53.9,9.26,14.5,1603.0
09 GET /api/health,1624,0,0.0,5.9,5.0,9.0,12.0,23.0,1,135,5.9,9.25,7.11,787.1
TX01 Dashboard page load (HTML + all JS bundles),1667,876,52.55,123.2,88.0,321.0,393.0,576.0,8,679,110.9,9.26,1800.09,198993.7
TOTAL (excluding transaction roll-ups),26444,5925,22.41,33.7,8.0,108.0,174.0,342.0,0,695,32.7,146.76,2058.86,14365.4
