label,samples,errors,error_pct,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms,ttfb_avg_ms,throughput_rps,kb_per_sec,avg_bytes
01 GET /dashboard (HTML document),245,0,0.0,38.6,37.0,54.0,62.0,86.0,15,90,36.9,2.06,20.44,10148.0
02 GET JS bundle (/_next/static/chunks/*.js),3430,0,0.0,2.3,1.0,7.0,8.0,10.0,0,23,1.2,28.96,777.26,27486.5
03 GET /api/analytics/summary?range=1M,245,0,0.0,1.8,1.0,3.0,4.0,11.0,0,43,1.8,2.07,6.38,3160.0
04 GET /api/transactions (page 1),244,0,0.0,9.5,7.0,16.0,20.0,44.0,3,66,9.5,2.07,26.45,13090.0
05 GET /ledger (HTML document),243,0,0.0,20.7,18.0,33.0,38.0,46.0,8,81,18.7,2.07,22.66,11212.9
06 GET /api/transactions (page 2),242,0,0.0,11.2,9.0,19.0,23.0,49.0,3,80,11.2,2.07,26.02,12871.0
07 GET /analytics?range=3M (HTML document),239,0,0.0,23.6,22.0,38.0,45.0,60.0,7,82,20.9,2.06,20.6,10222.6
08 GET /api/categories,239,0,0.0,11.2,9.0,19.0,22.0,36.0,3,82,11.2,2.06,4.71,2339.0
09 GET /api/health,237,0,0.0,10.3,9.0,18.0,21.0,28.0,3,30,10.3,2.06,1.58,787.3
TX01 Dashboard page load (HTML + all JS bundles),245,0,0.0,71.3,69.0,89.0,96.0,118.0,43,121,53.3,2.06,795.25,394959.0
TOTAL (excluding transaction roll-ups),5364,0,0.0,7.2,3.0,20.0,32.0,49.0,0,90,6.2,44.95,898.17,20462.6
