label,samples,errors,error_pct,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms,ttfb_avg_ms,throughput_rps,kb_per_sec,avg_bytes
01 GET /dashboard (HTML document),1680,0,0.0,95.4,63.0,225.0,246.0,359.0,13,434,86.1,9.38,92.99,10147.9
02 GET JS bundle (/_next/static/chunks/*.js),23520,0,0.0,6.8,3.0,17.0,29.0,60.0,0,166,3.5,131.45,3528.39,27486.5
03 GET /api/analytics/summary?range=1M,1680,0,0.0,3.7,2.0,8.0,14.0,44.0,0,167,3.7,9.39,28.98,3160.0
04 GET /api/transactions (page 1),1677,0,0.0,15.4,9.0,30.0,48.0,123.0,3,220,15.4,9.39,120.03,13090.0
05 GET /ledger (HTML document),1666,0,0.0,53.6,38.0,110.0,121.0,211.0,6,378,45.5,9.36,102.2,11184.2
06 GET /api/transactions (page 2),1642,0,0.0,16.1,11.0,30.0,39.0,119.0,3,208,16.1,9.26,116.37,12871.0
07 GET /analytics?range=3M (HTML document),1638,0,0.0,45.6,34.0,98.0,105.0,194.0,6,358,39.5,9.26,92.18,10198.5
08 GET /api/categories,1637,0,0.0,16.6,9.0,36.0,58.0,98.0,2,202,16.6,9.3,21.24,2339.0
09 GET /api/health,1635,0,0.0,10.9,7.0,23.0,32.0,54.0,1,140,10.9,9.31,7.15,787.2
TX01 Dashboard page load (HTML + all JS bundles),1680,0,0.0,190.3,126.0,404.0,502.0,609.0,37,629,135.5,9.37,3615.17,394958.9
TOTAL (excluding transaction roll-ups),36775,0,0.0,16.0,5.0,41.0,72.0,166.0,0,434,12.8,204.44,4084.53,20459.0
